user_id,item_id,rating
user_1,item_2518,4
user_1,item_999,5
user_1,item_3282,5
user_1,item_263,5
user_1,item_2903,4
user_1,item_3699,4
user_1,item_4790,3
user_1,item_2407,5
user_1,item_4402,4
user_1,item_544,5
user_1,item_415,1
user_1,item_2741,4
user_2,item_171,5
user_2,item_264,4
user_2,item_625,4
user_2,item_3041,4
user_2,item_2587,4
user_2,item_2608,5
user_2,item_3749,5
user_2,item_2900,3
user_2,item_542,4
user_2,item_1491,3
user_2,item_4449,1
user_2,item_1343,2
user_3,item_4652,5
user_3,item_4379,5
user_3,item_2168,4
user_3,item_4132,5
user_3,item_336,5
user_3,item_466,3
user_3,item_1254,5
user_3,item_37,4
user_3,item_1823,3
user_3,item_1373,5
user_3,item_4411,5
user_3,item_4188,5
user_3,item_479,4
user_3,item_2167,1
user_3,item_3444,2
user_4,item_3878,5
user_4,item_4256,4
user_4,item_1928,5
user_4,item_1270,3
user_4,item_1162,5
user_4,item_3017,4
user_4,item_477,5
user_4,item_4769,4
user_4,item_894,4
user_4,item_3039,4
user_4,item_1145,1
user_4,item_2601,4
user_5,item_1168,5
user_5,item_1502,5
user_5,item_1925,5
user_5,item_1078,5
user_5,item_3277,5
user_5,item_286,3
user_5,item_695,4
user_5,item_3820,2
user_5,item_2984,4
user_5,item_2412,4
user_5,item_2426,1
user_5,item_1362,3
user_5,item_3472,2
user_6,item_4934,4
user_6,item_4666,5
user_6,item_610,4
user_6,item_1083,5
user_6,item_2169,3
user_6,item_1210,5
user_6,item_1700,5
user_6,item_2597,3
user_6,item_4723,2
user_6,item_1539,5
user_6,item_599,3
user_6,item_1743,3
user_7,item_2280,5
user_7,item_2774,3
user_7,item_3427,4
user_7,item_4107,4
user_7,item_1143,5
user_7,item_3707,5
user_7,item_4347,4
user_7,item_2922,3
user_7,item_4067,4
user_7,item_1586,4
user_7,item_168,5
user_7,item_1093,4
user_7,item_1697,5
user_7,item_4585,2
user_7,item_4713,1
user_7,item_3986,3
user_8,item_642,5
user_8,item_2227,5
user_8,item_3223,5
user_8,item_3863,5
user_8,item_1892,5
user_8,item_1648,5
user_8,item_4701,3
user_8,item_378,4
user_8,item_4974,3
user_8,item_1260,4
user_8,item_958,4
user_8,item_1927,4
user_8,item_3615,5
user_8,item_656,1
user_8,item_1905,2
user_9,item_2099,5
user_9,item_96,4
user_9,item_1577,3
user_9,item_920,4
user_9,item_3573,4
user_9,item_4764,5
user_9,item_2284,5
user_9,item_3858,5
user_9,item_2128,5
user_9,item_2018,5
user_9,item_2197,3
user_9,item_706,5
user_9,item_4570,4
user_9,item_3466,3
user_9,item_1797,3
user_10,item_3509,4
user_10,item_3060,4
user_10,item_686,4
user_10,item_3067,5
user_10,item_460,5
user_10,item_1163,5
user_10,item_817,3
user_10,item_4145,5
user_10,item_3284,5
user_10,item_2134,3
user_10,item_2766,3
user_10,item_4950,4
user_10,item_4582,5
user_10,item_2337,2
user_10,item_1397,2
user_11,item_698,5
user_11,item_3879,4
user_11,item_3341,5
user_11,item_2016,5
user_11,item_4145,4
user_11,item_739,5
user_11,item_4425,4
user_11,item_4868,4
user_11,item_234,2
user_11,item_4682,4
user_11,item_2913,4
user_11,item_2531,2
user_11,item_138,1
user_11,item_3644,4
user_12,item_2976,4
user_12,item_1863,4
user_12,item_3093,5
user_12,item_2689,5
user_12,item_2759,4
user_12,item_2995,5
user_12,item_1595,5
user_12,item_4878,3
user_12,item_3608,5
user_12,item_1507,4
user_12,item_184,2
user_12,item_188,2
user_12,item_1646,2
user_13,item_2455,3
user_13,item_1110,5
user_13,item_31,4
user_13,item_1415,4
user_13,item_1133,3
user_13,item_3001,5
user_13,item_4900,5
user_13,item_4171,3
